id,benchmark_suite,task,sample_size_range,method,metric,aggregation,quantile,value,source_file,source_figure,statement
1,PMLBmini,binary tabular classification,32 to 100,AutoPrognosis,mean test AUC,median,0.5,0.855,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 32 to 100, AutoPrognosis achieved a median mean test AUC of 0.855."
2,PMLBmini,binary tabular classification,32 to 100,AutoGluon,mean test AUC,median,0.5,0.865,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 32 to 100, AutoGluon achieved a median mean test AUC of 0.865."
3,PMLBmini,binary tabular classification,32 to 100,TabPFN,mean test AUC,median,0.5,0.85,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 32 to 100, TabPFN achieved a median mean test AUC of 0.850."
4,PMLBmini,binary tabular classification,32 to 100,HyperFast,mean test AUC,median,0.5,0.84,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 32 to 100, HyperFast achieved a median mean test AUC of 0.840."
5,PMLBmini,binary tabular classification,32 to 100,Logistic regression,mean test AUC,median,0.5,0.85,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 32 to 100, Logistic regression achieved a median mean test AUC of 0.850."
6,PMLBmini,binary tabular classification,101 to 200,AutoPrognosis,mean test AUC,median,0.5,0.885,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 101 to 200, AutoPrognosis achieved a median mean test AUC of 0.885."
7,PMLBmini,binary tabular classification,101 to 200,AutoGluon,mean test AUC,median,0.5,0.9,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 101 to 200, AutoGluon achieved a median mean test AUC of 0.900."
8,PMLBmini,binary tabular classification,101 to 200,TabPFN,mean test AUC,median,0.5,0.865,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 101 to 200, TabPFN achieved a median mean test AUC of 0.865."
9,PMLBmini,binary tabular classification,101 to 200,HyperFast,mean test AUC,median,0.5,0.82,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 101 to 200, HyperFast achieved a median mean test AUC of 0.820."
10,PMLBmini,binary tabular classification,101 to 200,Logistic regression,mean test AUC,median,0.5,0.78,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 101 to 200, Logistic regression achieved a median mean test AUC of 0.780."
11,PMLBmini,binary tabular classification,201 to 300,AutoPrognosis,mean test AUC,median,0.5,0.88,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 201 to 300, AutoPrognosis achieved a median mean test AUC of 0.880."
12,PMLBmini,binary tabular classification,201 to 300,AutoGluon,mean test AUC,median,0.5,0.89,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 201 to 300, AutoGluon achieved a median mean test AUC of 0.890."
13,PMLBmini,binary tabular classification,201 to 300,TabPFN,mean test AUC,median,0.5,0.9,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 201 to 300, TabPFN achieved a median mean test AUC of 0.900."
14,PMLBmini,binary tabular classification,201 to 300,HyperFast,mean test AUC,median,0.5,0.89,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 201 to 300, HyperFast achieved a median mean test AUC of 0.890."
15,PMLBmini,binary tabular classification,201 to 300,Logistic regression,mean test AUC,median,0.5,0.86,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 201 to 300, Logistic regression achieved a median mean test AUC of 0.860."
16,PMLBmini,binary tabular classification,301 to 400,AutoPrognosis,mean test AUC,median,0.5,0.89,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 301 to 400, AutoPrognosis achieved a median mean test AUC of 0.890."
17,PMLBmini,binary tabular classification,301 to 400,AutoGluon,mean test AUC,median,0.5,0.875,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 301 to 400, AutoGluon achieved a median mean test AUC of 0.875."
18,PMLBmini,binary tabular classification,301 to 400,TabPFN,mean test AUC,median,0.5,0.88,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 301 to 400, TabPFN achieved a median mean test AUC of 0.880."
19,PMLBmini,binary tabular classification,301 to 400,HyperFast,mean test AUC,median,0.5,0.865,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 301 to 400, HyperFast achieved a median mean test AUC of 0.865."
20,PMLBmini,binary tabular classification,301 to 400,Logistic regression,mean test AUC,median,0.5,0.87,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 301 to 400, Logistic regression achieved a median mean test AUC of 0.870."
21,PMLBmini,binary tabular classification,401 to 500,AutoPrognosis,mean test AUC,median,0.5,0.99,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 401 to 500, AutoPrognosis achieved a median mean test AUC of 0.990."
22,PMLBmini,binary tabular classification,401 to 500,AutoGluon,mean test AUC,median,0.5,0.99,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 401 to 500, AutoGluon achieved a median mean test AUC of 0.990."
23,PMLBmini,binary tabular classification,401 to 500,TabPFN,mean test AUC,median,0.5,0.99,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 401 to 500, TabPFN achieved a median mean test AUC of 0.990."
24,PMLBmini,binary tabular classification,401 to 500,HyperFast,mean test AUC,median,0.5,0.97,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 401 to 500, HyperFast achieved a median mean test AUC of 0.970."
25,PMLBmini,binary tabular classification,401 to 500,Logistic regression,mean test AUC,median,0.5,0.99,results/test_scores_wide_3600.csv,Figure 2a / AUC plot,"For PMLBmini datasets in the sample-size range 401 to 500, Logistic regression achieved a median mean test AUC of 0.990."
