PMLB dataset,autogluon,Logistic Regression
analcatdata_aids,0.5384615384615384,0.46153846153846156
analcatdata_asbestos,0.8299008390541571,0.8466501398423596
analcatdata_bankruptcy,0.9647435897435898,0.9455128205128205
analcatdata_creditscore,0.997920997920998,0.7896495396495397
analcatdata_fraud,0.6023809523809525,0.7103174603174602
analcatdata_japansolvent,0.8903740490278952,0.9052373908143139
labor,0.9454678362573099,0.820906432748538
lupus,0.8284942182001006,0.838298139768728
parity5,0.5,0.25
postoperative_patient_data,0.390625,0.4309895833333333
appendicitis,0.8225838115373,0.860807409644619
backache,0.717948717948718,0.753531191031191
corral,1.0,0.9622222222222223
glass2,0.9218663068877266,0.6325247579837543
hepatitis,0.7946523003701745,0.8580281597038604
molecular_biology_promoters,0.9515669515669516,0.896011396011396
mux6,0.958984375,0.6630859375
prnn_crabs,0.9869000000000001,0.8515999999999999
biomed,0.9715292668945458,0.9210632470648181
breast_cancer,0.6723359977193732,0.7075329210661929
prnn_synth,0.9368919610855094,0.9294674859190989
bupa,0.6550237140310671,0.6587455436720144
haberman,0.7126045488884093,0.6440594068946379
irish,1.0,0.8407868299954632
saheart,0.7341059602649007,0.773137417218543
